Team,Population,GDP,Olympic_medals
Austria,8608000,415366,304
Bulgaria,7185000,53046,220
Croatia,4230000,58058,34
Czech Republic,10535000,198312,240
Denmark,5673000,330958,180
England,54316600,2535761,807
France,66417000,2737361,781
Germany,81459000,3635959,1682
Greece,10769000,241796,111
Ireland,6378000,217884,28
Italy,60963000,2071955,663
Latvia,1979000,30953,26
Netherlands,17003777,800007,376
Poland,38494000,516128,291
Portugal,10311000,219972,23
Romania,19822000,189659,302
Russia,144031000,2118006,1869
Spain,46423064,1358687,133
Sweden,9858794,557938,627
Switzerland,8265000,650814,323
Turkey,78214000,827209,87
Ukraine,42850000,177834,122
Wales,3168000,54000,25
Northern Ireland,1861200,43432,30
Slovakia,5426000,86629,29
Hungary,9835000,120636,482
Belgium,11259000,454687,147
Iceland,331000,16718,4
